x,y,vx,vy
0.0,0.0,1.0,0.0
9.988722352528562E-5,1.8461732809774333E-25,0.9988722352565267,3.6915318627793684E-21
1.9966167057736432E-4,3.137678547004942E-24,0.9977444705277081,3.6913398858287025E-20
2.9932334115867563E-4,6.828528196529058E-24,0.9966167058232736,1.4757134887573792E-20
3.988722352726287E-4,9.780199380848793E-24,0.9954889411529194,5.167080090638238E-20
4.983083529235989E-4,8.302308402244696E-24,0.994361176526309,-8.123190075005703E-20
5.976316941169249E-4,3.1342000068370636E-24,0.9932334119530724,-9.599146418595925E-20
6.968422588589047E-4,-6.4641806306583616E-24,0.9921056474428069,3.692765530669988E-20
7.959400471567932E-4,-1.6060808470409253E-23,0.990977883005077,-8.119578494122227E-20
8.94925059018798E-4,-1.38438890055735E-23,0.9898501186494143,2.1414511400093915E-19
9.937972944540768E-4,1.1997381145137095E-23,0.9887223543853173,1.99339447881482E-19
0.001092556753472734,3.488114025183013E-23,0.9875945902222519,1.6977093795731824E-19
0.001191203436085817,5.480716419866039E-23,0.9864668261696512,4.650854105498973E-19
0.0012897373423053134,8.949499729798754E-23,0.9853390622369156,7.013089964708005E-19
0.0013881584721441478,1.684733188616553E-22,0.9842112984334127,9.670007366830953E-19
0.0014864668256161777,2.7992525632552298E-22,0.9830835347684775,9.077651196619616E-19
0.0015846624027361915,4.0908026788262557E-22,0.9819557712514125,1.1438469720073116E-18
0.001682745203519904,5.145894856270022E-22,0.9808280078914875,9.0741337364098E-19
0.0017807152279839544,6.112240892808756E-22,0.9797002446979397,9.663371089130685E-19
0.0018785724761459016,7.167020531621438E-22,0.9785724816799739,1.0252473784181833E-18
0.001976316948024222,8.398841300547953E-22,0.9774447188467624,1.1727340867078452E-18
0.0020739486436383067,9.512334389805107E-22,0.9763169562074451,1.054428659028254E-18
0.0021714675630084565,1.0625677364644453E-21,0.9751891937711293,1.1133295290344824E-18
0.0022688737061558805,1.162068778443045E-21,0.9740614315468904,1.6447988273110027E-18
0.002366167073102691,1.3796799574972938E-21,0.9729336695437709,2.0579516772342177E-18
0.002463347663871903,1.5736329040992293E-21,0.9718059077707815,1.466969683219393E-18
0.002560415478487428,1.708496569509083E-21,0.9706781462369003,1.0532834561903461E-18
0.002657370516974072,1.813808046012301E-21,0.9695503849510735,9.349859872042052E-19
0.0027542127793575336,1.925008617526882E-21,0.9684226239222149,1.2892301292884048E-18
0.002850942265664399,2.0480060493822917E-21,0.9672948631592063,1.64345612407808E-18
0.0029475589759221385,2.235952389856282E-21,0.9661671026708973,1.5250322726991871E-18
0.0030440629101591054,2.311653241997062E-21,0.9650393424661056,4.616777908491092E-19
0.0031404540684045307,2.3164675928713737E-21,0.9639115825536166,2.253951146809763E-19
0.0032367324506885216,2.315377479992999E-21,0.962783822942184,5.798098213673596E-19
0.0033328980570420568,2.3910711536841742E-21,0.9616560636405295,1.071433361456238E-19
0.003428950887496984,2.4431275138858345E-21,0.9605283046573426,2.252013162735504E-19
0.0035248909420860165,2.424300533944135E-21,0.9594005460012814,-5.426646652527077E-19
0.003620718220842731,2.375947464258453E-21,0.9582727876809719,-3.0631510138695063E-19
0.003716432723801563,2.30397927775815E-21,0.9571450297050083,-7.787552286291162E-19
0.0038120344509978044,2.220208392971532E-21,0.956017272081953,-1.01490163972641E-18
0.0039075234024676005,2.118734764295661E-21,0.9548895148203368,-1.0147453420951012E-18
0.004002899578247946,1.9700280878651135E-21,0.9537617579286588,-1.8414797311936562E-18
0.0040981629783766816,1.8213461915635522E-21,0.9526340014153865,-2.077525528237849E-18
0.0041933136028924935,1.5663752339650274E-21,0.9515062452889554,-2.3134066904611667E-18
0.004288351451834907,1.3823181142945448E-21,0.9503784895577702,-1.4861580653961865E-18
0.004383276525244286,1.2337244111613327E-21,0.9492507342302032,-1.6040654570742734E-18
0.004478088823161826,1.073338159753834E-21,0.9481229793145958,-7.768528139247232E-19
0.004572788345629555,8.539144001966719E-22,0.9469952248192577,-2.5485770505747132E-18
0.00466737509269033,5.518449104213125E-22,0.9458674707524671,-2.3118318942043923E-18
0.00476184906438783,2.8526191057297075E-22,0.9447397171224712,-3.610931275941352E-18
0.004856210260766559,-6.396578894031559E-23,0.9436119639374853,-2.310872446195517E-18
0.0049504586818718355,-3.186445192942268E-22,0.9424842112056938,-1.7197866164301915E-18
0.005044594327749796,-4.433394034847299E-22,0.9413564589352498,-1.483316491398717E-18
0.0051386171984473894,-5.443992546305259E-22,0.9402287071342749,-1.8364400883400302E-19
0.005232527294012372,-4.682580346782493E-22,0.9391009558108597,7.613381230055337E-19
0.0053263246144933055,-3.4489219737391206E-22,0.9379732049730637,2.5332097460147448E-18
0.005420009159939558,-2.0730221441377864E-23,0.9368454546289151,2.296425398810359E-18
0.005513580930401294,1.3799919999427714E-22,0.9357177047864111,1.941762916117139E-18
0.005607039925929475,2.6126233434539567E-22,0.9345899554535179,2.7685326687430317E-18
0.005700386146575857,4.90826228193612E-22,0.9334622066381705,1.823069421888367E-18
0.005793619592392987,7.67599659574814E-22,0.9323344583482731,2.6495965483245378E-18
0.005886740263434197,1.1270229588789544E-21,0.931206710591699,1.94020258318119E-18
0.0059797481597536045,1.3446354153555202E-21,0.9300789633762905,2.884959853879862E-18
0.006072643281406109,1.6567132733146077E-21,0.928951216709859,2.6481902483302534E-18
0.006165425628447387,1.9214931438550868E-21,0.9278234706001852,1.2301183852011113E-18
0.006258095200933891,2.0326698208851452E-21,0.926695725055019,1.4662173144528485E-18
0.0063506519989228434,2.23833146782878E-21,0.9255679800820793,1.3477527318244177E-18
