x,y,vx,vy
-3.0,0.0,4.491572403911195,1.6239689874674115
-2.999550847040724,1.623918968208307E-4,4.49152959860262,1.6239189667972254
-2.999101698360226,3.247787911513449E-4,4.491486810822103,1.6238689418930567
-2.9986525539567537,4.871606825678432E-4,4.491444040565117,1.6238189127518932
-2.9982034138285547,6.495375706463248E-4,4.4914012878271325,1.6237688793707215
-2.997754277973878,8.119094549624876E-4,4.4913585526036135,1.623718841746528
-2.9973051463909726,9.742763350917279E-4,4.491315834890021,1.6236687998762984
-2.9968560190780877,0.0011366382106091405,4.491273134681812,1.6236187537570175
-2.9964068960334735,0.001298995081089519,4.491230451974439,1.6235687033856698
-2.9959577772553803,0.001461346946107355,4.4911877867633505,1.6235186487592395
-2.9955086627420586,0.0016236938052368386,4.491145139043992,1.6234685898747092
-2.9950595524917603,0.001786035658051858,4.491102508811803,1.623418526729062
-2.994610446502737,0.001948372504126,4.491059896062222,1.6233684593192796
-2.9941613447732403,0.0021107043430325487,4.49101730079068,1.6233183876423436
-2.993712247301523,0.002273031174344487,4.490974722992605,1.6232683116952347
-2.993263154085839,0.0024353529976344963,4.490932162663423,1.623218231474933
-2.992814065124441,0.0025976698124749544,4.490889619798554,1.6231681469784183
-2.9923649804155836,0.0027599816184379388,4.490847094393414,1.6231180582026694
-2.991915899957521,0.0029222884150952233,4.4908045864434145,1.623067965144665
-2.9914668237485085,0.00308459020201828,4.490762095943966,1.6230178678013822
-2.991017751786801,0.0032468869787782794,4.49071962289047,1.622967766169799
-2.9905686840706545,0.003409178744946089,4.490677167278329,1.6229176602468915
-2.990119620598325,0.0035714655000922734,4.490634729102937,1.622867550029636
-2.98967056136807,0.003733747243787096,4.4905923083596875,1.6228174355150073
-2.9892215063781467,0.003896023975600517,4.490549905043968,1.6227673166999805
-2.9887724556268123,0.004058295695102194,4.490507519151162,1.62271719358153
-2.988323409112325,0.004220562401861481,4.490465150676649,1.6226670661566294
-2.987874366832944,0.004382824095447432,4.490422799615806,1.6226169344222514
-2.987425328786928,0.004545080775428795,4.490380465964004,1.6225667983753684
-2.9869762949725365,0.004707332441374018,4.490338149716611,1.6225166580129524
-2.9865272653880295,0.004869579092851244,4.49029585086899,1.6224665133319744
-2.9860782400316674,0.005031820729428314,4.490253569416501,1.6224163643294054
-2.9856292189017117,0.005194057350672766,4.4902113053544985,1.622366211002215
-2.9851802019964233,0.005356288956151835,4.490169058678336,1.6223160533473726
-2.9847311893140644,0.005518515545432452,4.490126829383359,1.6222658913618473
-2.984282180852897,0.005680737118081246,4.490084617464912,1.622215725042607
-2.983833176611184,0.005842953673664542,4.490042422918332,1.6221655543866196
-2.983384176587189,0.0060051652117483634,4.490000245738957,1.622115379390852
-2.9829351807791755,0.006167371731898428,4.489958085922117,1.6220652000522708
-2.9824861891854075,0.00632957323368015,4.489915943463139,1.6220150163678417
-2.9820372018041503,0.006491769716658642,4.489873818357346,1.62196482833453
-2.9815882186336684,0.006653961180398712,4.489831710600057,1.6219146359493002
-2.9811392396722276,0.006816147624464866,4.489789620186587,1.6218644392091164
-2.980690264918094,0.006978329048421303,4.489747547112246,1.6218142381109424
-2.980241294369535,0.007140505451831921,4.489705491372342,1.6217640326517413
-2.9797923280248164,0.007302676834260314,4.489663452962176,1.6217138228284749
-2.979343365882206,0.0074648431952697705,4.489621431877049,1.6216636086381049
-2.978894407939972,0.007627004534423278,4.489579428112255,1.6216133900775926
-2.978445454196383,0.0077891608512835175,4.489537441663083,1.6215631671438986
-2.9779965046497074,0.007951312145412866,4.489495472524821,1.6215129398339827
-2.977547559298215,0.008113458416373398,4.48945352069275,1.6214627081448043
-2.9770986181401753,0.008275599663726884,4.4894115861621495,1.6214124720733223
-2.9766496811738588,0.008437735887034788,4.489369668928293,1.6213622316164948
-2.9762007483975363,0.008599867085858273,4.489327768986452,1.6213119867712795
-2.9757518198094792,0.008761993259758193,4.489285886331891,1.6212617375346334
-2.9753028954079594,0.008924114408295103,4.489244020959873,1.621211483903513
-2.9748539751912486,0.00908623053102925,4.489202172865656,1.6211612258748742
-2.9744050591576197,0.00924834162752058,4.489160342044493,1.621110963445672
-2.973956147305346,0.00941044769732873,4.489118528491636,1.6210606966128613
-2.973507239632701,0.009572548740013035,4.489076732202329,1.6210104253733961
-2.973058336137959,0.009734644755132525,4.489034953171814,1.62096014972423
-2.9726094368193943,0.009896735742245925,4.488993191395329,1.620909869662316
-2.9721605416752825,0.010058821700911656,4.488951446868107,1.6208595851846066
-2.9717116507038988,0.010220902630687832,4.488909719585379,1.6208092962880531
-2.971262763903519,0.010382978531132266,4.48886800954237,1.620759002969607
-2.97081388127242,0.010545049401802462,4.4888263167343005,1.6207087052262188
-2.9703650028088786,0.010707115242255622,4.488784641156389,1.6206584030548388
-2.9699161285111724,0.010869176052048641,4.488742982803849,1.620608096452416
-2.969467258377579,0.011031231830738111,4.488701341671889,1.6205577854159001
-2.9690183924063773,0.011193282577880317,4.488659717755715,1.6205074699422388
-2.968569530595846,0.011355328293031238,4.488618111050527,1.6204571500283798
-2.968120672944264,0.01151736897574655,4.488576521551522,1.6204068256712705
-2.967671819449912,0.011679404625581622,4.488534949253894,1.6203564968678572
-2.9672229701110697,0.01184143524209152,4.488493394152831,1.6203061636150862
-2.9667741249260184,0.012003460824831001,4.488451856243519,1.6202558259099027
-2.966325283893039,0.012165481373354518,4.488410335521138,1.6202054837492517
-2.9658764470104138,0.012327496887216221,4.488368831980865,1.6201551371300773
-2.9654276142764244,0.01248950736596995,4.488327345617873,1.6201047860493236
