time,x,y,vx,vy,dhdx,dhdy,height
0.001,4.001,4.001,0.9944032401284217,0.9944032401284217,0.5000000000006282,0.5000000000006282,4.001,
0.002,4.001994403240129,4.001994403240129,0.9888064802568433,0.9888064802568433,0.5000000000006455,0.5000000000006455,4.001994403240129,
0.003,4.002983209720386,4.002983209720386,0.9832097203852647,0.9832097203852647,0.500000000000663,0.500000000000663,4.002983209720386,
0.004,4.003966419440772,4.003966419440772,0.9776129605136858,0.9776129605136858,0.500000000000681,0.500000000000681,4.003966419440772,
0.005,4.004944032401286,4.004944032401286,0.9720162006421068,0.9720162006421068,0.49999999999978556,0.49999999999978556,4.004944032401286,
0.006,4.005916048601928,4.005916048601928,0.9664194407705367,0.9664194407705367,0.4999999999997941,0.4999999999997941,4.005916048601928,
0.007,4.006882468042698,4.006882468042698,0.9608226808989664,0.9608226808989664,0.4999999999998029,0.4999999999998029,4.006882468042698,
0.008,4.007843290723597,4.007843290723597,0.955225921027396,0.955225921027396,0.49999999999981176,0.49999999999981176,4.007843290723597,
0.009000000000000001,4.008798516644624,4.008798516644624,0.9496291611558255,0.9496291611558255,0.4999999999998208,0.4999999999998208,4.008798516644624,
0.010000000000000002,4.009748145805779,4.009748145805779,0.9440324012842549,0.9440324012842549,0.49999999999983,0.49999999999983,4.009748145805779,
0.011000000000000003,4.010692178207063,4.010692178207063,0.9384356414126843,0.9384356414126843,0.4999999999998394,0.4999999999998394,4.010692178207063,
0.012000000000000004,4.011630613848475,4.011630613848475,0.9328388815411136,0.9328388815411136,0.4999999999998489,0.4999999999998489,4.011630613848475,
0.013000000000000005,4.012563452730016,4.012563452730016,0.9272421216695428,0.9272421216695428,0.49999999999985856,0.49999999999985856,4.012563452730016,
0.014000000000000005,4.0134906948516855,4.0134906948516855,0.9216453617979719,0.9216453617979719,0.49999999999986844,0.49999999999986844,4.0134906948516855,
0.015000000000000006,4.014412340213483,4.014412340213483,0.9160486019264008,0.9160486019264008,0.4999999999998785,0.4999999999998785,4.014412340213483,
0.016000000000000007,4.015328388815409,4.015328388815409,0.9104518420548297,0.9104518420548297,0.4999999999998887,0.4999999999998887,4.015328388815409,
0.017000000000000008,4.016238840657464,4.016238840657464,0.9048550821832584,0.9048550821832584,0.49999999999989914,0.49999999999989914,4.016238840657464,
0.01800000000000001,4.017143695739647,4.017143695739647,0.8992583223116871,0.8992583223116871,0.4999999999999097,0.4999999999999097,4.017143695739647,
0.01900000000000001,4.018042954061959,4.018042954061959,0.8936615624401157,0.8936615624401157,0.4999999999999204,0.4999999999999204,4.018042954061959,
0.02000000000000001,4.018936615624399,4.018936615624399,0.8880648025685443,0.8880648025685443,0.49999999999993133,0.49999999999993133,4.018936615624399,
0.02100000000000001,4.019824680426967,4.019824680426967,0.8824680426969727,0.8824680426969727,0.4999999999999425,0.4999999999999425,4.019824680426967,
0.022000000000000013,4.020707148469664,4.020707148469664,0.8768712828254009,0.8768712828254009,0.4999999999999538,0.4999999999999538,4.020707148469664,
0.023000000000000013,4.021584019752489,4.021584019752489,0.8712745229538291,0.8712745229538291,0.4999999999999654,0.4999999999999654,4.021584019752489,
0.024000000000000014,4.022455294275443,4.022455294275443,0.8656777630822572,0.8656777630822572,0.49999999999997713,0.49999999999997713,4.022455294275443,
0.025000000000000015,4.023320972038525,4.023320972038525,0.8600810032106851,0.8600810032106851,0.4999999999999892,0.4999999999999892,4.023320972038525,
0.026000000000000016,4.024181053041736,4.024181053041736,0.854484243339113,0.854484243339113,0.5000000000000013,0.5000000000000013,4.024181053041736,
0.027000000000000017,4.025035537285075,4.025035537285075,0.8488874834675407,0.8488874834675407,0.5000000000000138,0.5000000000000138,4.025035537285075,
0.028000000000000018,4.025884424768543,4.025884424768543,0.8432907235959682,0.8432907235959682,0.5000000000000265,0.5000000000000265,4.025884424768543,
0.02900000000000002,4.026727715492139,4.026727715492139,0.8376939637243956,0.8376939637243956,0.5000000000000395,0.5000000000000395,4.026727715492139,
0.03000000000000002,4.027565409455863,4.027565409455863,0.8320972038528229,0.8320972038528229,0.5000000000000527,0.5000000000000527,4.027565409455863,
0.03100000000000002,4.028397506659716,4.028397506659716,0.8265004439812501,0.8265004439812501,0.5000000000000662,0.5000000000000662,4.028397506659716,
0.03200000000000002,4.029224007103697,4.029224007103697,0.8209036841096772,0.8209036841096772,0.5000000000000798,0.5000000000000798,4.029224007103697,
0.03300000000000002,4.030044910787807,4.030044910787807,0.8153069242381041,0.8153069242381041,0.5000000000000938,0.5000000000000938,4.030044910787807,
0.03400000000000002,4.030860217712045,4.030860217712045,0.8097101643665309,0.8097101643665309,0.5000000000001081,0.5000000000001081,4.030860217712045,
0.035000000000000024,4.031669927876412,4.031669927876412,0.8041134044949575,0.8041134044949575,0.5000000000001227,0.5000000000001227,4.031669927876412,
0.036000000000000025,4.032474041280907,4.032474041280907,0.798516644623384,0.798516644623384,0.5000000000001374,0.5000000000001374,4.032474041280907,
0.037000000000000026,4.033272557925531,4.033272557925531,0.7929198847518104,0.7929198847518104,0.5000000000001525,0.5000000000001525,4.033272557925531,
0.03800000000000003,4.034065477810283,4.034065477810283,0.7873231248802366,0.7873231248802366,0.5000000000001681,0.5000000000001681,4.034065477810283,
0.03900000000000003,4.034852800935163,4.034852800935163,0.7817263650086627,0.7817263650086627,0.5000000000001839,0.5000000000001839,4.034852800935163,
0.04000000000000003,4.035634527300172,4.035634527300172,0.7761296051370885,0.7761296051370885,0.5000000000002,0.5000000000002,4.035634527300172,
